UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp difference,Power,Wear severity,Load factor
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7453.6380101520235,2725.0,0.041730474732006126
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5554.3358115467545,1787.5,0.01991421568627451
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6148.358622463024,2476.6000000000004,0.031054545454545456
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6802.595292573098,2822.3999999999996,0.030896551724137928
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5082.7513383163905,1995.5,0.01941808981657179
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4731.3013681593,1747.6,0.014618885096700797
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6097.339157768726,2611.0,0.02389493914157591
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4540.784717670103,1700.9,0.012520150456743687
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6175.114519896098,2925.0,0.025793650793650792
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4665.327922433915,1894.2,0.013583655438983988
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6660.574360679817,3624.4,0.03071577484364142
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5336.445417069278,2528.4,0.0177790903721205
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6758.592051471818,4145.2,0.03599701269604182
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4801.296052481281,2269.5,0.01418242491657397
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7177.251160464705,4395.3,0.034038054968287525
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5666.647748912589,3022.5,0.01951951951951952
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5665.056008634771,3296.5000000000005,0.0222578576010263
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7389.7799034800555,4762.8,0.03347107438016529
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6076.122935381484,3706.7000000000003,0.023213156230234032
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5907.115722593864,4076.8,0.02724113968033357
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7321.51309511755,5374.200000000001,0.03676577229876722
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7422.0126441058865,5827.5,0.03888888888888889
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6475.3251138731375,5130.2,0.03333333333333333
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7277.436550187684,5842.0,0.0371345029239766
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7033.900287681404,5744.7,0.03589181286549708
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6968.261945172401,5820.0,0.03534985422740525
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7322.005277966611,5937.5,0.03226902173913043
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7656.050824822814,6284.8,0.03297515110812626
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4979.36152408675,3354.0,0.01399891481280521
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6875.207970773071,6157.9,0.032651622002820874
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8043.262591353267,7276.5,0.03782456140350877
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6520.815375497118,6174.0,0.03123229461756374
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1378.1748092277942,657.8,0.0016078294302691366
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7951.025431043872,7960.5,0.03969631236442516
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6866.327735538924,6438.599999999999,0.029258517034068135
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5752.413228355591,5335.2,0.022428115015974442
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5330.141287811075,4635.400000000001,0.017800118273211117
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6444.286178455672,6349.200000000001,0.02691798941798942
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6558.053720417668,6699.2,0.02870683818551117
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6385.171876690622,6448.0,0.02663582286847323
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5131.21564098577,4779.0,0.017760385310054184
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7850.127946986078,8976.0,0.03947750362844702
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7673.004953176687,8784.2,0.037760229720028717
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6368.469075749038,6455.8,0.023994974874371862
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4386.092695407341,3938.7999999999997,0.012520503007107709
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4914.581883569728,4506.599999999999,0.014293598233995584
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6156.244020023535,6832.2,0.02534471437951412
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6583.668172519939,8072.900000000001,0.03235294117647059
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5046.162255877582,5194.7,0.017093508040500298
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6770.195000339076,8114.400000000001,0.030081855388813097
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5180.988940594142,6123.599999999999,0.021218074656188603
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9700.923955019922,12548.7,0.046595744680851064
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4553.4662800150945,4361.8,0.011746361746361747
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6918.415341735443,8918.0,0.03133608815426997
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6365.243707291352,8791.199999999999,0.032432432432432434
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5834.984755267443,7000.0,0.02198492462311558
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5415.299392674381,6524.599999999999,0.020174890693316676
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6743.878925877506,9526.800000000001,0.03386511965192168
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7328.487430808517,9867.4,0.03278576317590691
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6292.767164773034,8590.4,0.02838487972508591
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7539.508209350144,0.0,0.03683834048640915
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5564.367964087218,75.8,0.027032810271041367
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7550.870302780628,199.6,0.03453287197231834
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7212.573133866566,427.5,0.032758620689655175
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6208.038410905718,448.79999999999995,0.02807983482450103
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6168.716142858287,521.3000000000001,0.027297481279782165
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7088.187008735435,714.0,0.03347398030942335
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5062.906944721215,455.6,0.014855875831485588
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6601.575250645399,878.0,0.030571030640668524
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5141.656200571199,795.0,0.020595854922279794
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6716.599429668835,1220.4,0.03185341789992953
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585897,1185.0,0.0265635507733692
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4736.2022526989,851.4,0.014717626925270965
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4771.765081537536,871.5,0.01360655737704918
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4901.062563183781,1002.7,0.015691951360741172
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6529.2767317107855,1720.0,0.029655172413793104
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5418.388625450412,1339.8,0.01966707768187423
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7385.06751449967,2296.8,0.038638045891931906
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5822.156585265284,1659.1,0.022412698412698412
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5479.4611866361965,1495.0,0.017085714285714284
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5235.809732399286,1733.1000000000001,0.021386527141922827
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897538,2442.0,0.029152987524622455
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4848.524662040247,1425.0,0.013498920086393088
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4315.888571575122,1221.3,0.01039678553490708
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6611.272299969481,2476.6,0.026109324758842443
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6111.497268660905,2551.5,0.028105482303955587
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6590.014189680189,2864.4,0.02993103448275862
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5181.543955296278,2114.8,0.01954745443117536
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7339.022238173556,3395.0,0.03356401384083045
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7336.6241557813155,3369.6,0.0312625250501002
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5550.848643701271,2452.5,0.020172732880937693
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5613.523417140386,2728.0,0.02169211195928753
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4410.79608564007,1845.0,0.01201923076923077
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6828.408712210094,3654.0,0.029019346230820548
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6196.3726301853885,3515.5,0.02636849132176235
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6520.208000917423,3854.7999999999997,0.02819650067294751
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5172.318144870235,2793.0,0.017499999999999998
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6848.326409633854,4432.900000000001,0.031935709294199865
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5584.955867943743,3375.9,0.021803069053708442
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5525.747318399087,3333.0,0.020637898686679174
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5023.0610778981845,2894.3,0.016461628588166376
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6252.491946954015,4314.200000000001,0.027743694614860263
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6707.834386165318,4827.6,0.031193300767620377
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6721.919193228913,4532.0,0.02644415917843389
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6955.171975782443,5678.400000000001,0.03870229007633588
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7026.31857741074,4947.599999999999,0.028072445019404917
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5317.019902494581,3410.3999999999996,0.01702374059061957
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5260.28273917075,3799.6000000000004,0.020641025641025643
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8419.939550518684,7260.0,0.045522949586155007
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6880.559150259685,5673.0,0.032908704883227176
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6414.9437030711415,4786.400000000001,0.024322621298046628
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5599.75276934215,4321.799999999999,0.022001282873636945
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6339.765390870739,5260.8,0.027902240325865583
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5038.580545606918,3601.0,0.015947035118019575
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6518.930419904966,5702.400000000001,0.029979181124219295
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7427.5627911272295,6696.0,0.03468531468531469
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7598.151272217155,7314.0,0.03871439006574142
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5106.501778777529,3990.0,0.016656925774400935
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6795.683788735201,6535.1,0.032183098591549296
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7510.930188177989,8184.4,0.04263685427910563
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7495.902903318319,7410.0,0.03409247757073844
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7409.383441638454,8649.0,0.044006309148264984
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5712.158954487593,5667.7,0.023891462607544673
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5691.393027047366,5596.8,0.0227979274611399
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5250.606633797693,4540.2,0.015860517435320586
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7440.705120394746,8282.0,0.035891968727789623
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6176.203605349342,7165.599999999999,0.030481667864845435
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5323.617247067119,5779.2,0.022207534699272967
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6093.977653629385,6281.400000000001,0.022394540942928042
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.882203152011,7177.900000000001,0.02646864686468647
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6931.61003088052,8688.0,0.03480783176214648
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6154.662751721228,7341.599999999999,0.027087576374745417
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6358.52069901267,7942.200000000001,0.030028129395218005
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5760.508065426341,7068.8,0.025700615174299387
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6800.919776491184,7831.0,0.025883838383838384
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5230.751768227006,5238.0,0.014594594594594595
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5792.426646786814,7095.200000000001,0.023691099476439794
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4119.9474377707265,3920.4,0.00996477101157524
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7201.577559579003,9338.0,0.03076923076923077
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6732.747215908285,8961.0,0.02943166441136671
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6278.996516974799,8440.0,0.0266844563042028
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7240.009709707918,10058.0,0.03195105370496261
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8149.019072048613,13111.2,0.04734789391575663
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7733.302588174586,11401.4,0.03703966005665722
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5896.036372502204,0.0,0.022383354350567465
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6733.312702585931,87.6,0.029836512261580378
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6574.72510543272,218.0,0.03027777777777778
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4718.4627261816295,208.0,0.015002885170225043
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5503.148795244265,326.0,0.02022332506203474
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6550.032187175502,643.5,0.0294238683127572
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9348.950386087232,1246.0,0.043475226796929514
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8157.019661339754,1300.2,0.04484066767830046
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5900.958200992828,840.0,0.021739130434782608
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7777.494324835084,1371.6,0.0347469220246238
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4190.800824084688,603.2,0.010810810810810811
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5614.727694324262,1078.4,0.021181646763042114
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7973.341210859871,2040.5,0.04464012251148545
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6295.437518528587,1609.5,0.03147612156295224
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5879.4487632912505,1353.3000000000002,0.021446229913473426
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4455.1134860067095,877.4,0.010764587525150904
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7548.953931261937,2158.6,0.03495821727019499
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6800.417121666609,2241.0,0.03819018404907975
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7707.635776194757,2345.2999999999997,0.03383050847457627
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4622.413766785878,1185.8,0.013267543859649122
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6759.681136925062,2597.4,0.03584202682563339
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6329.209639554678,2319.9,0.027407407407407408
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5341.775652604868,1805.4,0.01835632873425315
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5784.426057495672,2330.2000000000003,0.02641770401106501
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7629.4624789979325,3528.0,0.04304381245196003
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6224.008173561467,2801.5,0.031254532269760694
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5650.845537865033,2251.2000000000003,0.020921544209215444
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6994.504715805388,2994.6,0.02820012995451592
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7718.086807755699,3592.7999999999997,0.03378469871360867
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6036.423676215621,2560.4,0.020768307322929173
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7583.42767464733,3936.7999999999997,0.037052932761087266
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6079.903318541303,2802.6,0.02061978545887962
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,3000.702695051803,920.1999999999999,0.003995519044062733
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,6527.569799702336,3818.1,0.029525120440467997
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,7422.955121901963,4504.5,0.03456703910614525
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,6540.199002169767,3926.3999999999996,0.026784544859201048
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,5820.3239895506895,3465.0,0.02204030226700252
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,7067.986567972852,4757.1,0.03286810886252617
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,5897.293009563639,3605.0,0.02175264139216905
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,6795.264909714723,4326.0,0.02615873015873016
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,6116.178241714753,3819.9,0.02182151589242054
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,5913.6292913623065,4169.0,0.025436241610738253
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,5980.000672157147,3673.5999999999995,0.01883974727168294
