Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
L,298.8,309.1,1489,49.1,128,0,10.300000000000011,7656.050824822814,6284.8,0.0329751511081262
M,298.7,309.0,1843,25.8,130,0,10.300000000000011,4979.36152408675,3354.0,0.0139989148128052
L,298.8,309.1,1418,46.3,133,0,10.300000000000011,6875.207970773071,6157.9,0.0326516220028208
H,298.8,309.2,1425,53.9,135,0,10.399999999999975,8043.262591353267,7276.5,0.0378245614035087
M,298.9,309.2,1412,44.1,140,0,10.300000000000011,6520.815375497118,6174.0,0.0312322946175637
L,298.9,309.1,2861,4.6,143,1,10.200000000000044,1378.1748092277942,657.8,0.0016078294302691
L,298.9,309.1,1383,54.9,145,0,10.200000000000044,7951.025431043872,7960.5,0.0396963123644251
H,298.8,309.0,1497,43.8,147,0,10.199999999999989,6866.327735538924,6438.599999999999,0.0292585170340681
L,298.7,309.0,1565,35.1,152,0,10.300000000000011,5752.413228355591,5335.2,0.0224281150159744
L,298.7,309.0,1691,30.1,154,0,10.300000000000011,5330.141287811075,4635.400000000001,0.0178001182732111
L,298.8,309.1,1512,40.7,156,0,10.300000000000011,6444.286178455672,6349.200000000001,0.0269179894179894
L,298.8,309.1,1477,42.4,158,0,10.300000000000011,6558.053720417668,6699.2,0.0287068381855111
L,298.8,309.1,1513,40.3,160,0,10.300000000000011,6385.171876690622,6448.0,0.0266358228684732
M,298.8,309.0,1661,29.5,162,0,10.199999999999989,5131.21564098577,4779.0,0.0177603853100541
L,298.8,309.1,1378,54.4,165,0,10.300000000000011,7850.127946986078,8976.0,0.039477503628447
L,298.8,309.1,1393,52.6,167,0,10.300000000000011,7673.004953176687,8784.2,0.0377602297200287
M,298.8,309.0,1592,38.2,169,0,10.199999999999989,6368.469075749038,6455.8,0.0239949748743718
L,298.8,309.0,1829,22.9,172,0,10.199999999999989,4386.092695407341,3938.8,0.0125205030071077
M,298.9,309.0,1812,25.9,174,0,10.100000000000025,4914.581883569728,4506.599999999999,0.0142935982339955
L,299.0,309.1,1523,38.6,177,0,10.100000000000025,6156.244020023535,6832.2,0.0253447143795141
L,299.0,309.1,1394,45.1,179,0,10.100000000000025,6583.668172519939,8072.900000000001,0.0323529411764705
M,298.9,308.9,1679,28.7,181,0,10.0,5046.162255877582,5194.7,0.0170935080405002
H,298.8,308.9,1466,44.1,184,0,10.099999999999966,6770.195000339076,8114.400000000001,0.030081855388813
L,298.8,308.9,1527,32.4,189,0,10.099999999999966,5180.988940594142,6123.599999999999,0.0212180746561886
L,298.9,309.0,1410,65.7,191,1,10.100000000000025,9700.923955019922,12548.7,0.046595744680851
M,298.9,309.0,1924,22.6,193,0,10.100000000000025,4553.466280015095,4361.8,0.0117463617463617
L,298.9,309.1,1452,45.5,196,0,10.200000000000044,6918.415341735443,8918.0,0.0313360881542699
L,298.9,309.1,1369,44.4,198,0,10.200000000000044,6365.243707291352,8791.199999999999,0.0324324324324324
L,299.0,309.1,1592,35.0,200,0,10.100000000000025,5834.984755267443,7000.0,0.0219849246231155
L,298.9,309.0,1601,32.3,202,0,10.100000000000025,5415.299392674381,6524.599999999999,0.0201748906933166
L,298.8,308.9,1379,46.7,204,0,10.099999999999966,6743.878925877506,9526.8,0.0338651196519216
L,298.8,308.9,1461,47.9,206,0,10.099999999999966,7328.487430808517,9867.4,0.0327857631759069
L,298.8,308.9,1455,41.3,208,1,10.099999999999966,6292.767164773034,8590.4,0.0283848797250859
L,298.8,308.9,1398,51.5,0,0,10.099999999999966,7539.508209350144,0.0,0.0368383404864091
L,298.8,308.9,1402,37.9,2,0,10.099999999999966,5564.367964087218,75.8,0.0270328102710413
H,298.8,308.8,1445,49.9,4,0,10.0,7550.870302780628,199.6,0.0345328719723183
L,298.9,308.9,1450,47.5,9,0,10.0,7212.573133866566,427.5,0.0327586206896551
L,298.9,308.9,1453,40.8,11,0,10.0,6208.038410905718,448.8,0.028079834824501
L,299.0,309.0,1469,40.1,13,0,10.0,6168.716142858287,521.3000000000001,0.0272974812797821
L,298.9,308.9,1422,47.6,15,0,10.0,7088.187008735435,714.0,0.0334739803094233
M,299.0,309.0,1804,26.8,17,0,10.0,5062.906944721215,455.6,0.0148558758314855
H,299.0,309.0,1436,43.9,20,0,10.0,6601.575250645399,878.0,0.0305710306406685
L,299.0,309.0,1544,31.8,25,0,10.0,5141.656200571199,795.0,0.0205958549222797
M,299.0,309.0,1419,45.2,27,0,10.0,6716.599429668835,1220.4,0.0318534178999295
M,298.9,308.9,1487,39.5,30,0,10.0,6150.871896585897,1185.0,0.0265635507733692
L,298.9,308.9,1753,25.8,33,0,10.0,4736.2022526989,851.4,0.0147176269252709
L,298.9,308.9,1830,24.9,35,0,10.0,4771.765081537536,871.5,0.0136065573770491
M,298.9,308.9,1727,27.1,37,0,10.0,4901.062563183781,1002.7,0.0156919513607411
L,299.1,309.0,1450,43.0,40,0,9.899999999999975,6529.2767317107855,1720.0,0.0296551724137931
L,299.0,308.9,1622,31.9,42,0,9.899999999999975,5418.388625450412,1339.8,0.0196670776818742
M,299.0,309.0,1351,52.2,44,0,10.0,7385.06751449967,2296.8,0.0386380458919319
M,299.0,309.0,1575,35.3,47,0,10.0,5822.156585265284,1659.1,0.0224126984126984
M,298.9,308.9,1750,29.9,50,0,10.0,5479.4611866361965,1495.0,0.0170857142857142
L,298.9,308.8,1529,32.7,53,0,9.900000000000034,5235.809732399286,1733.1,0.0213865271419228
L,298.8,308.8,1523,44.4,55,0,10.0,7081.275504897538,2442.0,0.0291529875246224
L,298.8,308.9,1852,25.0,57,0,10.099999999999966,4848.524662040247,1425.0,0.013498920086393
L,298.8,308.8,1991,20.7,59,0,10.0,4315.888571575122,1221.3,0.010396785534907
L,298.8,308.8,1555,40.6,61,0,10.0,6611.272299969481,2476.6,0.0261093247588424
M,298.8,308.8,1441,40.5,63,0,10.0,6111.497268660905,2551.5,0.0281054823039555
L,298.8,308.7,1450,43.4,66,0,9.899999999999975,6590.014189680189,2864.4,0.0299310344827586
L,298.8,308.7,1591,31.1,68,0,9.899999999999975,5181.543955296278,2114.8,0.0195474544311753
L,298.8,308.7,1445,48.5,70,0,9.899999999999975,7339.022238173556,3395.0,0.0335640138408304
M,298.8,308.8,1497,46.8,72,0,10.0,7336.6241557813155,3369.6,0.0312625250501002
H,298.9,308.8,1621,32.7,75,0,9.900000000000034,5550.848643701271,2452.5,0.0201727328809376
L,298.9,308.7,1572,34.1,80,0,9.800000000000011,5613.523417140386,2728.0,0.0216921119592875
L,298.8,308.6,1872,22.5,82,0,9.800000000000011,4410.79608564007,1845.0,0.0120192307692307
H,298.7,308.6,1499,43.5,84,0,9.900000000000034,6828.408712210094,3654.0,0.0290193462308205
M,298.8,308.7,1498,39.5,89,0,9.899999999999975,6196.3726301853885,3515.5,0.0263684913217623
M,298.8,308.6,1486,41.9,92,0,9.800000000000011,6520.208000917423,3854.8,0.0281965006729475
L,298.8,308.6,1680,29.4,95,0,9.800000000000011,5172.318144870235,2793.0,0.0174999999999999
L,298.8,308.6,1431,45.7,97,0,9.800000000000011,6848.326409633854,4432.900000000001,0.0319357092941998
L,298.9,308.7,1564,34.1,99,0,9.800000000000011,5584.955867943743,3375.9,0.0218030690537084
L,298.8,308.6,1599,33.0,101,0,9.800000000000011,5525.747318399087,3333.0,0.0206378986866791
M,298.8,308.6,1707,28.1,103,0,9.800000000000011,5023.0610778981845,2894.3,0.0164616285881663
L,298.7,308.5,1467,40.7,106,0,9.800000000000011,6252.491946954015,4314.200000000001,0.0277436946148602
L,298.9,308.7,1433,44.7,108,0,9.800000000000011,6707.834386165318,4827.6,0.0311933007676203
L,298.9,308.7,1558,41.2,110,0,9.800000000000011,6721.919193228913,4532.0,0.0264441591784338
L,299.0,308.8,1310,50.7,112,0,9.800000000000011,6955.171975782443,5678.400000000001,0.0387022900763358
L,298.9,308.7,1546,43.4,114,0,9.800000000000011,7026.31857741074,4947.599999999999,0.0280724450194049
L,298.9,308.7,1727,29.4,116,0,9.800000000000011,5317.019902494581,3410.4,0.0170237405906195
L,298.9,308.6,1560,32.2,118,0,9.700000000000044,5260.28273917075,3799.6,0.0206410256410256
L,299.0,308.6,1329,60.5,120,0,9.600000000000025,8419.939550518684,7260.0,0.045522949586155
L,298.9,308.6,1413,46.5,122,0,9.700000000000044,6880.559150259685,5673.0,0.0329087048832271
L,299.0,308.6,1587,38.6,124,0,9.600000000000025,6414.9437030711415,4786.400000000001,0.0243226212980466
L,298.9,308.5,1559,34.3,126,0,9.600000000000025,5599.75276934215,4321.799999999999,0.0220012828736369
L,298.8,308.4,1473,41.1,128,0,9.599999999999966,6339.765390870739,5260.8,0.0279022403258655
L,298.8,308.4,1737,27.7,130,0,9.599999999999966,5038.580545606918,3601.0,0.0159470351180195
M,298.7,308.4,1441,43.2,132,0,9.699999999999989,6518.930419904966,5702.400000000001,0.0299791811242192
M,298.7,308.4,1430,49.6,135,0,9.699999999999989,7427.562791127229,6696.0,0.0346853146853146
L,298.8,308.4,1369,53.0,138,0,9.599999999999966,7598.151272217155,7314.0,0.0387143900657414
M,298.8,308.5,1711,28.5,140,0,9.699999999999989,5106.501778777529,3990.0,0.0166569257744009
H,298.7,308.5,1420,45.7,143,0,9.800000000000011,6795.683788735201,6535.1,0.0321830985915492
L,298.7,308.6,1297,55.3,148,0,9.900000000000034,7510.930188177989,8184.4,0.0426368542791056
H,298.8,308.6,1449,49.4,150,0,9.800000000000011,7495.902903318319,7410.0,0.0340924775707384
L,298.8,308.6,1268,55.8,155,0,9.800000000000011,7409.383441638454,8649.0,0.0440063091482649
L,298.8,308.6,1511,36.1,157,0,9.800000000000011,5712.158954487593,5667.7,0.0238914626075446
L,298.7,308.5,1544,35.2,159,0,9.800000000000011,5691.393027047366,5596.8,0.0227979274611399
M,298.6,308.4,1778,28.2,161,0,9.799999999999956,5250.606633797693,4540.2,0.0158605174353205
H,298.6,308.4,1407,50.5,164,0,9.799999999999956,7440.705120394746,8282.0,0.0358919687277896
M,298.6,308.4,1391,42.4,169,0,9.799999999999956,6176.203605349342,7165.599999999999,0.0304816678648454
L,298.5,308.4,1513,33.6,172,0,9.899999999999975,5323.617247067119,5779.2,0.0222075346992729
H,298.5,308.4,1612,36.1,174,0,9.899999999999975,6093.977653629385,6281.400000000001,0.022394540942928
L,298.4,308.4,1515,40.1,179,0,10.0,6361.882203152011,7177.900000000001,0.0264686468646864
M,298.3,308.3,1379,48.0,181,0,10.0,6931.61003088052,8688.0,0.0348078317621464
L,298.4,308.3,1473,39.9,184,0,9.900000000000034,6154.662751721228,7341.599999999999,0.0270875763747454
L,298.4,308.3,1422,42.7,186,0,9.900000000000034,6358.52069901267,7942.200000000001,0.030028129395218
M,298.4,308.2,1463,37.6,188,0,9.800000000000011,5760.508065426341,7068.8,0.0257006151742993
M,298.4,308.2,1584,41.0,191,0,9.800000000000011,6800.919776491184,7831.0,0.0258838383838383
L,298.4,308.2,1850,27.0,194,0,9.800000000000011,5230.751768227006,5238.0,0.0145945945945945
L,298.4,308.2,1528,36.2,196,0,9.800000000000011,5792.426646786814,7095.200000000001,0.0236910994764397
H,298.4,308.2,1987,19.8,198,0,9.800000000000011,4119.947437770727,3920.4,0.0099647710115752
M,298.4,308.1,1495,46.0,203,0,9.700000000000044,7201.577559579003,9338.0,0.0307692307692307
H,298.4,308.2,1478,43.5,206,0,9.800000000000011,6732.747215908285,8961.0,0.0294316644113667
M,298.4,308.2,1499,40.0,211,0,9.800000000000011,6278.996516974799,8440.0,0.0266844563042028
L,298.4,308.2,1471,47.0,214,0,9.800000000000011,7240.009709707918,10058.0,0.0319510537049626
L,298.4,308.2,1282,60.7,216,1,9.800000000000011,8149.019072048613,13111.2,0.0473478939157566
L,298.3,308.1,1412,52.3,218,1,9.800000000000011,7733.302588174586,11401.4,0.0370396600566572
L,298.3,308.1,1586,35.5,0,0,9.800000000000011,5896.036372502204,0.0,0.0223833543505674
M,298.4,308.2,1468,43.8,2,0,9.800000000000011,6733.312702585931,87.6,0.0298365122615803
M,298.5,308.3,1440,43.6,5,0,9.800000000000011,6574.72510543272,218.0,0.0302777777777777
L,298.5,308.4,1733,26.0,8,0,9.899999999999975,4718.4627261816295,208.0,0.015002885170225
H,298.4,308.2,1612,32.6,10,0,9.800000000000011,5503.148795244265,326.0,0.0202233250620347
H,298.4,308.3,1458,42.9,15,0,9.900000000000034,6550.032187175502,643.5,0.0294238683127572
L,298.4,308.3,1433,62.3,20,1,9.900000000000034,9348.950386087232,1246.0,0.0434752267969295
L,298.4,308.3,1318,59.1,22,0,9.900000000000034,8157.019661339754,1300.2,0.0448406676783004
M,298.4,308.2,1610,35.0,24,0,9.800000000000011,5900.958200992828,840.0,0.0217391304347826
L,298.2,308.1,1462,50.8,27,0,9.900000000000034,7777.494324835084,1371.6,0.0347469220246238
M,298.1,308.0,1924,20.8,29,0,9.899999999999975,4190.800824084688,603.2,0.0108108108108108
M,298.2,308.0,1591,33.7,32,0,9.800000000000011,5614.727694324262,1078.4,0.0211816467630421
L,298.2,308.1,1306,58.3,35,0,9.900000000000034,7973.341210859871,2040.5,0.0446401225114854
L,298.2,308.1,1382,43.5,37,0,9.900000000000034,6295.437518528587,1609.5,0.0314761215629522
L,298.2,308.1,1618,34.7,39,0,9.900000000000034,5879.4487632912505,1353.3000000000002,0.0214462299134734
L,298.2,308.2,1988,21.4,41,0,10.0,4455.1134860067095,877.4,0.0107645875251509
L,298.2,308.2,1436,50.2,43,0,10.0,7548.953931261937,2158.6,0.0349582172701949
L,298.2,308.3,1304,49.8,45,0,10.100000000000025,6800.417121666609,2241.0,0.0381901840490797
L,298.2,308.3,1475,49.9,47,0,10.100000000000025,7707.635776194757,2345.3,0.0338305084745762
H,298.2,308.3,1824,24.2,49,0,10.100000000000025,4622.413766785878,1185.8,0.0132675438596491
M,298.1,308.2,1342,48.1,54,0,10.099999999999966,6759.681136925062,2597.4,0.0358420268256333
L,298.1,308.2,1485,40.7,57,0,10.099999999999966,6329.209639554678,2319.9,0.0274074074074074
L,298.2,308.2,1667,30.6,59,0,10.0,5341.775652604868,1805.4,0.0183563287342531
L,298.2,308.2,1446,38.2,61,0,10.0,5784.426057495672,2330.2000000000003,0.026417704011065
L,298.1,308.3,1301,56.0,63,0,10.199999999999989,7629.4624789979325,3528.0,0.04304381245196
L,298.2,308.4,1379,43.1,65,0,10.199999999999989,6224.008173561467,2801.5,0.0312545322697606
L,298.3,308.5,1606,33.6,67,0,10.199999999999989,5650.845537865033,2251.2000000000003,0.0209215442092154
M,298.3,308.4,1539,43.4,69,0,10.099999999999966,6994.504715805388,2994.6,0.0282001299545159
L,298.2,308.4,1477,49.9,72,0,10.199999999999989,7718.086807755699,3592.8,0.0337846987136086
L,298.2,308.4,1666,34.6,74,0,10.199999999999989,6036.423676215621,2560.4,0.0207683073229291
H,298.2,308.4,1398,51.8,76,0,10.199999999999989,7583.42767464733,3936.8,0.0370529327610872
H,298.2,308.4,1678,34.6,81,0,10.199999999999989,6079.903318541303,2802.6,0.0206197854588796
M,298.2,308.5,2678,10.7,86,1,10.300000000000011,3000.702695051803,920.2,0.0039955190440627
L,298.3,308.5,1453,42.9,89,0,10.199999999999989,6527.569799702336,3818.1,0.0295251204404679
H,298.3,308.6,1432,49.5,91,0,10.300000000000011,7422.955121901963,4504.5,0.0345670391061452
M,298.4,308.6,1527,40.9,96,0,10.200000000000044,6540.199002169767,3926.4,0.026784544859201
L,298.4,308.7,1588,35.0,99,0,10.300000000000011,5820.3239895506895,3465.0,0.0220403022670025
L,298.4,308.6,1433,47.1,101,0,10.200000000000044,7067.986567972852,4757.1,0.0328681088625261
L,298.4,308.6,1609,35.0,103,0,10.200000000000044,5897.293009563639,3605.0,0.021752641392169
L,298.3,308.5,1575,41.2,105,0,10.199999999999989,6795.264909714723,4326.0,0.0261587301587301
M,298.4,308.5,1636,35.7,107,0,10.100000000000025,6116.178241714753,3819.9,0.0218215158924205
L,298.4,308.5,1490,37.9,110,0,10.100000000000025,5913.6292913623065,4169.0,0.0254362416107382
L,298.4,308.5,1741,32.8,112,0,10.100000000000025,5980.000672157147,3673.6,0.0188397472716829
M,298.5,308.6,1344,53.0,114,0,10.100000000000025,7459.397596683605,6042.0,0.0394345238095238
L,298.5,308.7,1609,35.3,117,0,10.199999999999989,5947.841235359899,4130.099999999999,0.0219390926041019
M,298.4,308.7,1421,60.7,119,1,10.300000000000011,9032.571061919718,7223.3,0.042716396903589
L,298.4,308.6,1591,36.7,122,0,10.200000000000044,6114.555085510398,4477.400000000001,0.0230672532998114
L,298.4,308.6,1477,44.0,124,0,10.200000000000044,6805.527445716449,5456.0,0.0297901150981719
L,298.4,308.7,1523,36.1,126,0,10.300000000000011,5757.523552405431,4548.6,0.0237032173342087
L,298.5,308.7,1575,33.9,128,0,10.199999999999989,5591.249525226434,4339.2,0.0215238095238095
H,298.4,308.7,1344,52.9,130,0,10.300000000000011,7445.323261595522,6877.0,0.039360119047619
L,298.4,308.7,1386,44.9,135,0,10.300000000000011,6516.856968753594,6061.5,0.0323953823953823
M,298.3,308.6,1589,37.1,137,0,10.300000000000011,6173.428531838671,5082.7,0.0233480176211453
L,298.3,308.6,1548,40.3,140,0,10.300000000000011,6532.879091286903,5642.0,0.0260335917312661
L,298.3,308.6,1499,38.3,142,0,10.300000000000011,6012.13916500337,5438.599999999999,0.0255503669112741
L,298.3,308.5,1664,31.6,144,0,10.199999999999989,5506.416051603998,4550.400000000001,0.0189903846153846
L,298.3,308.6,1447,38.1,146,0,10.300000000000011,5773.2734035754265,5562.6,0.0263303386316516
M,298.3,308.5,1434,46.2,148,0,10.199999999999989,6937.767552481556,6837.6,0.0322175732217573
L,298.3,308.5,1416,52.7,151,0,10.199999999999989,7814.523230245396,7957.700000000001,0.0372175141242937
H,298.4,308.5,1827,24.3,153,0,10.100000000000025,4649.148720267927,3717.9,0.0133004926108374
L,298.4,308.6,1304,45.0,158,0,10.200000000000044,6144.955230421635,7110.0,0.0345092024539877
L,298.4,308.6,1569,34.4,160,0,10.200000000000044,5652.102174926468,5504.0,0.0219247928616953
L,298.3,308.6,1584,29.3,162,0,10.300000000000011,4860.169498809554,4746.6,0.0184974747474747
L,298.3,308.5,1362,53.8,164,0,10.199999999999989,7673.402888246141,8823.199999999999,0.0395007342143906
L,298.3,308.4,1329,49.2,166,0,10.099999999999966,6847.28968405817,8167.200000000001,0.037020316027088
L,298.3,308.5,1539,36.1,168,0,10.199999999999989,5818.009682962545,6064.8,0.0234567901234567
M,298.3,308.5,1629,37.1,170,0,10.199999999999989,6328.832648436246,6307.0,0.0227747084100675
L,298.3,308.5,1538,32.2,173,0,10.199999999999989,5186.099264643983,5570.6,0.0209362808842652
L,298.3,308.6,1570,34.8,175,0,10.300000000000011,5721.468540717731,6089.999999999999,0.0221656050955414
L,298.3,308.4,1408,43.1,177,0,10.099999999999966,6354.897395485529,7628.7,0.0306107954545454
L,298.2,308.4,1424,47.6,179,0,10.199999999999989,7098.156329422827,8520.4,0.0334269662921348
L,298.2,308.4,1512,34.9,181,0,10.199999999999989,5525.935813958303,6316.9,0.0230820105820105
L,298.2,308.4,1478,42.9,183,0,10.199999999999989,6639.881737068171,7850.7,0.0290257104194857
M,298.1,308.3,1680,33.7,185,0,10.199999999999989,5928.8136558546585,6234.500000000001,0.0200595238095238
L,298.1,308.3,1495,38.7,188,0,10.199999999999989,6058.718512080596,7275.6,0.025886287625418
M,298.0,308.1,1552,36.6,190,0,10.100000000000025,5948.417194013058,6954.0,0.0235824742268041
L,297.9,308.1,1393,50.3,193,0,10.200000000000044,7337.493329748808,9707.9,0.0361091170136396
L,298.0,308.2,1611,30.6,195,0,10.199999999999989,5162.327880231821,5967.0,0.0189944134078212
M,298.0,308.1,1339,51.6,197,0,10.100000000000025,7235.339208629582,10165.2,0.0385362210604929
L,298.0,308.1,1777,24.3,200,0,10.100000000000025,4521.914217797541,4860.0,0.0136747326955543
L,298.0,308.2,1348,58.8,202,1,10.199999999999989,8300.33911819652,11877.6,0.043620178041543
L,298.0,308.2,1442,44.1,204,0,10.199999999999989,6659.359611520428,8996.4,0.0305825242718446
M,298.0,308.2,1395,49.1,206,0,10.199999999999989,7172.727267043536,10114.6,0.0351971326164874
M,297.9,308.1,1627,31.4,209,0,10.200000000000044,5349.901905602154,6562.599999999999,0.019299323909035
L,297.9,308.1,1585,33.5,212,0,10.200000000000044,5560.357197466135,7102.0,0.0211356466876971
L,298.0,308.2,1469,45.5,214,0,10.199999999999989,6999.416072320499,9737.0,0.0309734513274336
L,298.0,308.3,1362,56.8,216,1,10.300000000000011,8101.28780766507,12268.8,0.0417033773861967
L,298.0,308.3,1405,56.2,218,1,10.300000000000011,8268.776584003457,12251.6,0.04
L,298.0,308.3,1662,32.7,0,0,10.300000000000011,5691.246419390198,0.0,0.0196750902527075
M,298.0,308.2,1466,42.6,2,0,10.199999999999989,6539.916258830944,85.2,0.0290586630286493
L,298.0,308.2,1620,35.8,5,0,10.199999999999989,6073.326917919787,179.0,0.0220987654320987
L,298.0,308.2,1357,48.2,7,0,10.199999999999989,6849.446911013635,337.40000000000003,0.0355195283714075
L,298.0,308.2,1514,37.9,9,0,10.199999999999989,6008.882380619149,341.1,0.0250330250990752
L,298.0,308.2,1489,40.4,11,0,10.199999999999989,6299.479701076206,444.4,0.0271323035594358
L,298.1,308.3,1331,63.0,13,0,10.199999999999989,8781.06562604883,819.0,0.0473328324567994
L,298.0,308.0,1615,29.5,15,0,10.0,4989.110933288391,442.5,0.018266253869969
L,298.1,308.2,1482,37.9,17,0,10.099999999999966,5881.878261610026,644.3,0.0255735492577597
M,298.1,308.2,1420,63.9,19,1,10.099999999999966,9502.061140047686,1214.1,0.045
M,298.2,308.3,1522,49.1,22,0,10.100000000000025,7825.728244043199,1080.2,0.0322601839684625
L,298.1,308.2,1654,32.1,25,0,10.099999999999966,5559.927846470145,802.5,0.0194074969770253
M,298.1,308.2,1736,26.8,27,0,10.099999999999966,4872.065662991147,723.6,0.0154377880184331
M,298.0,308.1,1587,32.3,30,0,10.100000000000025,5367.945119409271,969.0,0.0203528670447384
L,298.1,308.2,1390,47.5,33,0,10.099999999999966,6914.1218317755365,1567.5,0.0341726618705036
L,298.0,308.1,1454,37.1,35,0,10.100000000000025,5648.939638321855,1298.5,0.0255158184319119
H,298.0,308.1,1440,43.7,37,0,10.100000000000025,6589.80475016995,1616.9,0.0303472222222222
L,297.9,308.0,1954,21.1,42,0,10.100000000000025,4317.532671730501,886.2,0.0107983623336745
H,297.9,308.0,1800,24.8,44,0,10.100000000000025,4674.689868541612,1091.2,0.0137777777777777
L,298.0,308.0,1524,37.0,49,0,10.0,5904.937551687374,1813.0,0.0242782152230971
H,298.0,308.0,1520,39.6,51,0,10.0,6303.2915001625615,2019.6,0.0260526315789473
M,298.1,308.1,1452,40.8,56,0,10.0,6203.765844896837,2284.8,0.028099173553719
L,298.1,308.1,1484,40.4,59,0,10.0,6278.326310542034,2383.6,0.0272237196765498
